ID,Name,Description,Tree_Is_Rooted,Tree_Type,Tree_Branch_Length_Unit,Media_ID,Source
STATE_306,STATE_306,bayesian,,sample,,posterior,
STATE_307,STATE_307,bayesian,,sample,,posterior,
STATE_308,STATE_308,bayesian,,sample,,posterior,
STATE_309,STATE_309,bayesian,,sample,,posterior,
STATE_310,STATE_310,bayesian,,sample,,posterior,
STATE_311,STATE_311,bayesian,,sample,,posterior,
STATE_312,STATE_312,bayesian,,sample,,posterior,
STATE_313,STATE_313,bayesian,,sample,,posterior,
STATE_314,STATE_314,bayesian,,sample,,posterior,
STATE_315,STATE_315,bayesian,,sample,,posterior,
STATE_316,STATE_316,bayesian,,sample,,posterior,
STATE_317,STATE_317,bayesian,,sample,,posterior,
STATE_318,STATE_318,bayesian,,sample,,posterior,
STATE_319,STATE_319,bayesian,,sample,,posterior,
STATE_320,STATE_320,bayesian,,sample,,posterior,
STATE_321,STATE_321,bayesian,,sample,,posterior,
STATE_322,STATE_322,bayesian,,sample,,posterior,
STATE_323,STATE_323,bayesian,,sample,,posterior,
STATE_324,STATE_324,bayesian,,sample,,posterior,
STATE_325,STATE_325,bayesian,,sample,,posterior,
STATE_326,STATE_326,bayesian,,sample,,posterior,
STATE_327,STATE_327,bayesian,,sample,,posterior,
STATE_328,STATE_328,bayesian,,sample,,posterior,
STATE_329,STATE_329,bayesian,,sample,,posterior,
STATE_330,STATE_330,bayesian,,sample,,posterior,
STATE_331,STATE_331,bayesian,,sample,,posterior,
STATE_332,STATE_332,bayesian,,sample,,posterior,
STATE_333,STATE_333,bayesian,,sample,,posterior,
STATE_334,STATE_334,bayesian,,sample,,posterior,
STATE_335,STATE_335,bayesian,,sample,,posterior,
STATE_336,STATE_336,bayesian,,sample,,posterior,
STATE_337,STATE_337,bayesian,,sample,,posterior,
STATE_338,STATE_338,bayesian,,sample,,posterior,
STATE_339,STATE_339,bayesian,,sample,,posterior,
STATE_340,STATE_340,bayesian,,sample,,posterior,
STATE_341,STATE_341,bayesian,,sample,,posterior,
STATE_342,STATE_342,bayesian,,sample,,posterior,
STATE_343,STATE_343,bayesian,,sample,,posterior,
STATE_344,STATE_344,bayesian,,sample,,posterior,
STATE_345,STATE_345,bayesian,,sample,,posterior,
STATE_346,STATE_346,bayesian,,sample,,posterior,
STATE_347,STATE_347,bayesian,,sample,,posterior,
STATE_348,STATE_348,bayesian,,sample,,posterior,
STATE_349,STATE_349,bayesian,,sample,,posterior,
STATE_350,STATE_350,bayesian,,sample,,posterior,
STATE_351,STATE_351,bayesian,,sample,,posterior,
STATE_352,STATE_352,bayesian,,sample,,posterior,
STATE_353,STATE_353,bayesian,,sample,,posterior,
STATE_354,STATE_354,bayesian,,sample,,posterior,
STATE_355,STATE_355,bayesian,,sample,,posterior,
STATE_356,STATE_356,bayesian,,sample,,posterior,
STATE_357,STATE_357,bayesian,,sample,,posterior,
STATE_358,STATE_358,bayesian,,sample,,posterior,
STATE_359,STATE_359,bayesian,,sample,,posterior,
STATE_360,STATE_360,bayesian,,sample,,posterior,
STATE_361,STATE_361,bayesian,,sample,,posterior,
STATE_362,STATE_362,bayesian,,sample,,posterior,
STATE_363,STATE_363,bayesian,,sample,,posterior,
STATE_364,STATE_364,bayesian,,sample,,posterior,
STATE_365,STATE_365,bayesian,,sample,,posterior,
STATE_366,STATE_366,bayesian,,sample,,posterior,
STATE_367,STATE_367,bayesian,,sample,,posterior,
STATE_368,STATE_368,bayesian,,sample,,posterior,
STATE_369,STATE_369,bayesian,,sample,,posterior,
STATE_370,STATE_370,bayesian,,sample,,posterior,
STATE_371,STATE_371,bayesian,,sample,,posterior,
STATE_372,STATE_372,bayesian,,sample,,posterior,
STATE_373,STATE_373,bayesian,,sample,,posterior,
STATE_374,STATE_374,bayesian,,sample,,posterior,
STATE_375,STATE_375,bayesian,,sample,,posterior,
STATE_376,STATE_376,bayesian,,sample,,posterior,
STATE_377,STATE_377,bayesian,,sample,,posterior,
STATE_378,STATE_378,bayesian,,sample,,posterior,
STATE_379,STATE_379,bayesian,,sample,,posterior,
STATE_380,STATE_380,bayesian,,sample,,posterior,
STATE_381,STATE_381,bayesian,,sample,,posterior,
STATE_382,STATE_382,bayesian,,sample,,posterior,
STATE_383,STATE_383,bayesian,,sample,,posterior,
STATE_384,STATE_384,bayesian,,sample,,posterior,
STATE_385,STATE_385,bayesian,,sample,,posterior,
STATE_386,STATE_386,bayesian,,sample,,posterior,
STATE_387,STATE_387,bayesian,,sample,,posterior,
STATE_388,STATE_388,bayesian,,sample,,posterior,
STATE_389,STATE_389,bayesian,,sample,,posterior,
STATE_390,STATE_390,bayesian,,sample,,posterior,
STATE_391,STATE_391,bayesian,,sample,,posterior,
STATE_392,STATE_392,bayesian,,sample,,posterior,
STATE_393,STATE_393,bayesian,,sample,,posterior,
STATE_394,STATE_394,bayesian,,sample,,posterior,
STATE_395,STATE_395,bayesian,,sample,,posterior,
STATE_396,STATE_396,bayesian,,sample,,posterior,
STATE_397,STATE_397,bayesian,,sample,,posterior,
STATE_398,STATE_398,bayesian,,sample,,posterior,
STATE_399,STATE_399,bayesian,,sample,,posterior,
STATE_400,STATE_400,bayesian,,sample,,posterior,
STATE_401,STATE_401,bayesian,,sample,,posterior,
STATE_402,STATE_402,bayesian,,sample,,posterior,
STATE_403,STATE_403,bayesian,,sample,,posterior,
STATE_404,STATE_404,bayesian,,sample,,posterior,
STATE_405,STATE_405,bayesian,,sample,,posterior,
STATE_406,STATE_406,bayesian,,sample,,posterior,
STATE_407,STATE_407,bayesian,,sample,,posterior,
STATE_408,STATE_408,bayesian,,sample,,posterior,
STATE_409,STATE_409,bayesian,,sample,,posterior,
STATE_410,STATE_410,bayesian,,sample,,posterior,
STATE_411,STATE_411,bayesian,,sample,,posterior,
STATE_412,STATE_412,bayesian,,sample,,posterior,
STATE_413,STATE_413,bayesian,,sample,,posterior,
STATE_414,STATE_414,bayesian,,sample,,posterior,
STATE_415,STATE_415,bayesian,,sample,,posterior,
STATE_416,STATE_416,bayesian,,sample,,posterior,
STATE_417,STATE_417,bayesian,,sample,,posterior,
STATE_418,STATE_418,bayesian,,sample,,posterior,
STATE_419,STATE_419,bayesian,,sample,,posterior,
STATE_420,STATE_420,bayesian,,sample,,posterior,
